Unnamed: 0	Dataset_Ids	TF_name	Peak_start	Peak_end	Peak_center	Peak_number	Max_Fold_Enrichment	Max_Norm_Fold_Enrichment	Proximal_genes	Center_position_type
1671	dicC inducible 1,dicC inducible 2,dicC inducible 4	dicC	4470592.0	4470797.0	4470698.0	251	7.67	0.071022	mgtA-mgtL,ridA	genic
1672	dicC inducible 1,dicC inducible 2,dicC inducible 4	dicC	1195642.0	1195847.0	1195762.0	252	7.61	0.055994	icd,ymfD-ymfE	genic
1673	dicC inducible 1,dicC inducible 2	dicC	2288137.0	2288505.0	2288432.0	253	7.57	0.072937	insH-8,proL	genic
1674	dicC inducible 1,dicC inducible 2	dicC	3069144.0	3069345.0	3069261.0	254	7.52	0.063711	ygfI-yggE-argO,yggE-argO-mscS	genic
1675	dicC inducible 1,dicC inducible 2	dicC	1870232.0	1870506.0	1870362.0	255	7.49	0.07549	yeaG-yeaH,yeaI	intergenic
1676	dicC inducible 1,dicC inducible 2,dicC inducible 4	dicC	3266328.0	3266568.0	3266487.0	256	7.49	0.067773	tdcF-tdcE-tdcD-tdcC-tdcB-tdcA-tdcG,tdcF-tdcE-tdcD-tdcC-tdcB-tdcG	genic
1677	dicC inducible 1,dicC inducible 2	dicC	3267553.0	3267793.0	3267648.0	257	7.38	0.076361	tdcR,yhaB-yhaC	intergenic
1678	dicC inducible 3,dicC inducible 4	dicC	4344744.0	4344963.0	4344860.0	258	7.35	0.043105	melA-melB,yjdF	intergenic
1679	dicC inducible 1,dicC inducible 4	dicC	1737696.0	1737873.0	1737791.0	259	7.34	0.073924	purR,ydhB	intergenic
1680	dicC inducible 1,dicC inducible 2	dicC	2233884.0	2234077.0	2233989.0	260	7.23	0.073692	preT-preA,sanA-yeiS	intergenic
1681	dicC inducible 1,dicC inducible 2	dicC	3736980.0	3737154.0	3737059.0	261	7.21	0.074562	bax,xylR	genic
1682	dicC inducible 1,dicC inducible 2	dicC	3084070.0	3084257.0	3084159.0	262	7.15	0.073982	speB,speB-speA	genic
1683	dicC inducible 1,dicC inducible 2	dicC	1425083.0	1425357.0	1425242.0	263	7.13	0.052222	trkG,ynaK-ydaY	intergenic
1684	dicC inducible 1,dicC inducible 2	dicC	2993167.0	2993360.0	2993285.0	264	7.09	0.064233	ygeH,ygeI	genic
1685	dicC inducible 1,dicC inducible 2,dicC inducible 4	dicC	1622900.0	1623115.0	1623014.0	265	7.05	0.071835	dgcZ,mgrR	genic
1686	dicC inducible 1,dicC inducible 2	dicC	820844.0	821113.0	820922.0	266	7.03	0.072705	ybhM,ybhN-clsB-ybhP	genic
1687	dicC inducible 1,dicC inducible 2,dicC inducible 4	dicC	4370180.0	4370389.0	4370328.0	267	7.02	0.066555	fxsA,yjeH	genic
1688	dicC inducible 1,dicC inducible 2	dicC	2473035.0	2473221.0	2473145.0	268	6.95	0.071835	ryeG,yfdK-yfdL-yfdM-yfdN-oweS	genic
1689	dicC inducible 1,dicC inducible 2	dicC	2089645.0	2089801.0	2089695.0	269	6.68	0.061042	yeeY-yeeZ,yeeY-yeeZ-yefM-yoeB	genic
1690	dicC inducible 1,dicC inducible 2	dicC	4268546.0	4268756.0	4268690.0	270	6.67	0.052977	tyrB,yjbS	intergenic
1691	dicC inducible 1,dicC inducible 2	dicC	1842031.0	1842196.0	1842104.0	271	6.65	0.065858	nudG,ynjH	genic
1692	dicC inducible 1,dicC inducible 2	dicC	2884571.0	2884786.0	2884637.0	272	6.58462	0.054659	ygbF-ygbT-casE-casD-casC-casB-casA,ygcB	genic
1693	dicC inducible 1,dicC inducible 2	dicC	2987054.0	2987289.0	2987188.0	273	6.51	0.067251	yqeG,yqeH	intergenic
1694	dicC inducible 1,dicC inducible 2	dicC	2290198.0	2290439.0	2290333.0	274	6.17	0.059301	narP,yejO	intergenic
1695	dicC inducible 1,dicC inducible 2	dicC	754618.0	754844.0	754696.0	275	6.14	0.063537	gltA,ybgV	genic
1696	dicC inducible 1,dicC inducible 2	dicC	3266005.0	3266277.0	3266173.0	276	6.03	0.062319	tdcF-tdcE-tdcD-tdcC-tdcB-tdcA-tdcG,tdcF-tdcE-tdcD-tdcC-tdcB-tdcG	genic
1697	dicC inducible 1,dicC inducible 2	dicC	2885495.0	2885684.0	2885588.0	277	5.88	0.06081	ygbF-ygbT-casE-casD-casC-casB-casA,ygcB	genic
1698	dicC inducible 1,dicC inducible 2	dicC	1608982.0	1609269.0	1609126.0	278	5.83	0.057793	uxaB,yneE	intergenic
1699	dicC inducible 1,dicC inducible 2	dicC	1616288.0	1616568.0	1616345.0	279	5.53	0.049611	ydeA,yneK	genic
1700	dinJ native 1,dinJ native 2,dinJ inducible 1,dinJ inducible 2	dinJ	246113.0	247074.0	246549.0	1	982.19	1.0	yafK-yafQ-dinJ,yafQ-dinJ	intergenic
1701	ebgR native 1,ebgR native 2,ebgR inducible 1	ebgR	3222206.0	3222886.0	3222543.0	1	43.03	1.0	ebgA-ebgC,ebgR	intergenic
1702	ebgR native 1,ebgR native 2,ebgR inducible 1	ebgR	3221021.0	3221571.0	3221271.0	2	19.4	0.458831	ebgR,ygjH	intergenic
1703	envY inducible 1,envY inducible 2	envY	3799760.0	3800175.0	3799969.0	1	59.3	1.0	waaU-waaZ,yibY	genic
1704	envY inducible 1,envY inducible 2	envY	3653727.0	3654088.0	3653868.0	2	23.63	0.549273	insH-11,slp-dctR	intergenic
1705	envY inducible 1,envY inducible 2	envY	3605327.0	3605692.0	3605507.0	3	22.36	0.759171	rsmD-yhhL,yhhM	genic
1706	exuR native 1,exuR native 2	exuR	1610404.0	1611128.0	1610727.0	1	396.25	1.0	uxaB,yneF	intergenic
1707	exuR native 1,exuR native 2	exuR	3244230.0	3245155.0	3244803.0	2	367.51	0.927476	uxaA-uxaC,ygjV-uxaA-uxaC	intergenic
1708	exuR native 1,exuR native 2	exuR	2265814.0	2266422.0	2266127.0	3	155.32	0.432974	yeiP,yeiQ	intergenic
1709	exuR native 1,exuR native 2	exuR	4551167.0	4551752.0	4551501.0	4	123.17	0.310842	gntP,uxuA-uxuB	intergenic
1710	exuR native 1,exuR native 2	exuR	3246352.0	3246844.0	3246613.0	5	68.87	0.197593	exuR,exuT	intergenic
1711	exuR native 1,exuR native 2	exuR	3776998.0	3777409.0	3777194.0	6	51.53	0.135256	lldP-lldR-lldD,yibL	intergenic
1712	exuR native 1,exuR native 2	exuR	464157.0	464541.0	464352.0	7	38.14	0.096245	fadM,ybaV	intergenic
1713	exuR native 1,exuR native 2	exuR	2636059.0	2636426.0	2636252.0	8	37.35	0.09514	yfgJ,yfgJ-der	genic
1714	exuR native 1,exuR native 2	exuR	2359712.0	2360073.0	2359902.0	9	33.19	0.087261	rhmA-rhmT,ypaA	genic
1715	exuR native 1,exuR native 2	exuR	3276138.0	3276518.0	3276337.0	10	32.48	0.085808	garD,prlF-yhaV	genic
1716	exuR native 1,exuR native 2	exuR	320867.0	321186.0	321054.0	11	31.47	0.090297	ykgD,ykgE-ykgF-ykgG	genic
1717	exuR native 1,exuR native 2	exuR	4345115.0	4345412.0	4345262.0	12	18.22	0.045974	melA-melB,yjdF	genic
1718	exuR native 1,exuR native 2	exuR	4068248.0	4068539.0	4068393.0	13	16.48	0.046672	yihO-yihP,yihQ	genic
1719	exuR native 1,exuR native 2	exuR	182589.0	182892.0	182742.0	14	16.14	0.043247	cdaR,yaeH	genic
1720	exuR native 1,exuR native 2	exuR	313209.0	313647.0	313445.0	15	14.53	0.041676	ykgP,ykgR	intergenic
1721	exuR native 1,exuR native 2	exuR	121922.0	122186.0	122068.0	16	14.39	0.036322	aceE-aceF,pdhR-aceE-aceF-lpd	intergenic
1722	exuR native 1,exuR native 2	exuR	1997976.0	1998230.0	1998105.0	17	12.53	0.035946	sdiA,sdiA-yecC-yecS-dcyD	genic
1723	exuR native 1,exuR native 2	exuR	3639586.0	3639842.0	3639723.0	18	11.55	0.029792	pitA,uspB	intergenic
1724	exuR native 1,exuR native 2	exuR	3328586.0	3328855.0	3328725.0	19	11.5	0.030678	ftsH-rlmE,rlmE-greA	intergenic
1725	exuR native 1,exuR native 2	exuR	3083340.0	3083622.0	3083445.0	20	11.38	0.032639	loiP,speB	genic
1726	exuR native 1,exuR native 2	exuR	3228056.0	3228307.0	3228187.0	21	11.16	0.032013	fadH,ygjJ-ygjK	genic
1727	exuR native 1,exuR native 2	exuR	4402697.0	4402968.0	4402847.0	22	10.18	0.029201	hfq-hflX-hflK-hflC,yjeT	genic
1728	exuR native 1,exuR native 2	exuR	2926835.0	2927063.0	2926948.0	23	9.64	0.027654	sdaC-sdaB-ygdG,ygdH	genic
1729	exuR native 1,exuR native 2	exuR	4118383.0	4118626.0	4118515.0	24	9.26	0.023377	zapB	genic
1730	exuR native 1,exuR native 2	exuR	2014218.0	2014423.0	2014329.0	25	9.24	0.026508	fliF-fliG-fliH-fliI-fliJ-fliK,fliL-fliM-fliN-fliO-fliP-fliQ-fliR	genic
1731	exuR native 1,exuR native 2	exuR	2433649.0	2433883.0	2433765.0	26	9.07	0.025185	cvpA-dedD-folC-accD,dedD-folC	genic
1732	exuR native 1,exuR native 2	exuR	269326.0	269544.0	269441.0	27	9.01	0.025846	perR,ykfA	genic
1733	exuR native 1,exuR native 2	exuR	837277.0	837497.0	837389.0	28	8.66	0.024795	ybiC,ybiE	genic
1734	exuR native 1,exuR native 2	exuR	4545921.0	4546163.0	4546045.0	29	8.5	0.02146	fimA-fimI-fimC,gntP	genic
1735	exuR native 1,exuR native 2	exuR	3709061.0	3709328.0	3709183.0	30	8.45	0.023141	eptB,proK	genic
1736	exuR native 1,exuR native 2	exuR	2974489.0	2974708.0	2974589.0	31	8.4	0.022468	lplT-aas,tas	genic
1737	exuR native 1,exuR native 2	exuR	2143507.0	2143706.0	2143612.0	32	8.1	0.022314	alkA,yegE	genic
1738	exuR native 1,exuR native 2	exuR	4518808.0	4519015.0	4518909.0	33	8.05	0.023106	insA-7,yjhU	intergenic
1739	exuR native 1,exuR native 2	exuR	1903783.0	1903987.0	1903880.0	34	7.82	0.021724	manX-manY-manZ-yobD,yobD	genic
1740	exuR native 1,exuR native 2	exuR	189163.0	189373.0	189279.0	35	7.61	0.020082	dapD-glnD,dapD-glnD-map	genic
1741	exuR native 1,exuR native 2	exuR	1154808.0	1155047.0	1154953.0	36	7.51	0.018948	ptsG,tmk-holB-ycfH	genic
1742	exuR native 1,exuR native 2	exuR	4460784.0	4461001.0	4460898.0	37	6.97	0.020011	nrdG,nrdG-nrdD	genic
1743	exuR native 1,exuR native 2	exuR	3041920.0	3042109.0	3041998.0	38	6.79	0.019467	ygfZ,yqfA	genic
1744	exuR native 1,exuR native 2	exuR	4217754.0	4217948.0	4217849.0	39	6.55	0.018794	aceB-aceA,aceK	genic
1745	exuR native 1,exuR native 2	exuR	4134550.0	4134732.0	4134633.0	40	6.19	0.017495	katG,yijE	genic
1746	fabR native 1,fabR native 2	fabR	2441309.0	2442040.0	2441660.0	1	173.73	1.0	mnmC,yfcJ-fabB	intergenic
1747	fabR native 1,fabR native 2	fabR	3042925.0	3043517.0	3043221.0	2	124.67	0.899984	bglA,yqfA	intergenic
1748	fabR native 1,fabR native 2	fabR	1016279.0	1016749.0	1016516.0	3	22.88	0.165172	fabA,ycbZ	intergenic
1749	fimZ inducible 1,fimZ inducible 2	fimZ	3907816.0	3908323.0	3908085.0	1	196.03	1.0	phoU,phoU-pstB	genic
1750	fimZ inducible 1,fimZ inducible 2	fimZ	830439.0	830930.0	830685.0	2	127.02	0.988498	rhlE,ybhF-ybhG-ybiH	intergenic
1751	fimZ inducible 1,fimZ inducible 2	fimZ	2186851.0	2187318.0	2187073.0	3	120.38	0.890851	rcnB,yehA-yehB-yehC-yehD	genic
1752	fimZ inducible 1,fimZ inducible 2	fimZ	3898442.0	3898827.0	3898637.0	4	79.95	0.622205	cbrC,yieK-yieL-bglH	intergenic
1753	fimZ inducible 1,fimZ inducible 2	fimZ	4050628.0	4051102.0	4050878.0	5	74.6	0.5806	csrC,yihA	intergenic
1754	fimZ inducible 1,fimZ inducible 2	fimZ	3669421.0	3669825.0	3669614.0	6	67.93	0.528666	treF,yhjB	genic
1755	fimZ inducible 1,fimZ inducible 2	fimZ	3422623.0	3423030.0	3422839.0	7	55.31	0.312482	yhdW-yhdX-yhdY-yhdZ	genic
1756	fimZ inducible 1,fimZ inducible 2	fimZ	3518908.0	3519345.0	3519134.0	8	55.12	0.428965	aroB,damX-aroB-aroK	intergenic
1757	fimZ inducible 1,fimZ inducible 2	fimZ	2113089.0	2113467.0	2113308.0	9	55.08	0.428672	rfbC-rfbA-rfbD-rfbB,rfbD-rfbB-wcaN	intergenic
1758	fimZ inducible 1,fimZ inducible 2	fimZ	1862486.0	1862893.0	1862672.0	10	53.23	0.401502	gapA-yeaD	intergenic
1759	fimZ inducible 1,fimZ inducible 2	fimZ	2579229.0	2579620.0	2579424.0	11	49.6	0.253028	tktB,ypfG	genic
1760	fimZ inducible 1,fimZ inducible 2	fimZ	3843206.0	3843577.0	3843376.0	12	46.61	0.362713	adeQ,yicN	genic
1761	fimZ inducible 1,fimZ inducible 2	fimZ	2531190.0	2531588.0	2531447.0	13	44.58	0.346928	cysZ-cysK,ligA-zipA	intergenic
1762	fimZ inducible 1,fimZ inducible 2	fimZ	4460310.0	4460672.0	4460484.0	14	41.11	0.319934	nrdG,nrdG-nrdD	intergenic
1763	fimZ inducible 1,fimZ inducible 2	fimZ	1323232.0	1323606.0	1323410.0	15	39.24	0.213955	trpD-trpE-trpL,yciO	genic
1764	fimZ inducible 1,fimZ inducible 2	fimZ	952714.0	953073.0	952892.0	16	35.21	0.274045	pflA,pflB	genic
1765	fimZ inducible 1,fimZ inducible 2	fimZ	1828118.0	1828439.0	1828287.0	17	33.12	0.168945	astE-astB-astD-astA-astC,spy	genic
1766	fimZ inducible 1,fimZ inducible 2	fimZ	116414.0	116759.0	116598.0	18	32.83	0.255501	guaC,hofC-hofB-ppdD	genic
1767	fimZ inducible 1,fimZ inducible 2	fimZ	3486219.0	3486568.0	3486391.0	19	30.39	0.155046	crp,yhfK	genic
1768	fimZ inducible 1,fimZ inducible 2	fimZ	2118375.0	2118730.0	2118576.0	20	24.89	0.193709	wcaM-wcaL-wcaK,wzxC-wcaJ-cpsG-cpsB-wcaI-wcaH-wcaG-gmd-wcaF-wcaE-wcaD-wcaC	intergenic
1769	fimZ inducible 1,fimZ inducible 2	fimZ	372970.0	373282.0	373129.0	21	23.6	0.139252	lacI-mhpR,mhpT	genic
1770	fimZ inducible 1,fimZ inducible 2	fimZ	2699198.0	2699502.0	2699336.0	22	21.63	0.168359	yfhH,yfhL	genic
1771	fimZ inducible 1,fimZ inducible 2	fimZ	2753312.0	2753642.0	2753476.0	23	21.28	0.165601	bamE,recN	intergenic
1772	fimZ inducible 1,fimZ inducible 2	fimZ	4394943.0	4395247.0	4395097.0	24	19.51	0.117129	queG,tsaE-amiB-mutL	genic
1773	fimZ inducible 1,fimZ inducible 2	fimZ	4502168.0	4502473.0	4502306.0	25	19.42	0.151106	insG,yjgZ	genic
1774	fimZ inducible 1,fimZ inducible 2	fimZ	3727757.0	3728060.0	3727951.0	26	19.37	0.150754	xylB,yiaB	intergenic
1775	fimZ inducible 1,fimZ inducible 2	fimZ	3298765.0	3299076.0	3298929.0	27	19.14	0.148994	yhbO,yraQ-yraR	intergenic
1776	fimZ inducible 2	fimZ	557818.0	558122.0	557993.0	28	18.84	0.146588	sfmA,ybcJ-folD	intergenic
1777	fimZ inducible 1,fimZ inducible 2	fimZ	213949.0	214215.0	214064.0	29	18.77	0.095734	rof-yaeP,tilS	genic
1778	fimZ inducible 1,fimZ inducible 2	fimZ	2424410.0	2424684.0	2424553.0	30	17.94	0.139604	hisP-hisM-hisQ-hisJ,yfcI	genic
1779	fimZ inducible 1,fimZ inducible 2	fimZ	193555.0	193838.0	193692.0	31	16.63	0.085382	dxr-ispU-cdsA,ispU-cdsA-rseP	genic
1780	fimZ inducible 1,fimZ inducible 2	fimZ	39797.0	40083.0	39937.0	32	15.74	0.080275	caiC-caiB	genic
1781	fimZ inducible 1,fimZ inducible 2	fimZ	578383.0	578619.0	578477.0	33	14.89	0.095886	borD,rzoD	genic
1782	fimZ inducible 1,fimZ inducible 2	fimZ	1440556.0	1440775.0	1440672.0	34	14.67	0.074817	micC,ompN-pfo	genic
1783	fimZ inducible 1,fimZ inducible 2	fimZ	2058955.0	2059245.0	2059106.0	35	14.33	0.111496	asnU,asnW	genic
1784	fimZ inducible 1,fimZ inducible 2	fimZ	1130105.0	1130363.0	1130240.0	36	13.99	0.099701	flgN-flgM,flgN-flgM-flgA	genic
1785	fimZ inducible 1,fimZ inducible 2	fimZ	1672323.0	1672504.0	1672422.0	37	12.45	0.063532	ydgD,ydgV	genic
1786	fimZ inducible 1,fimZ inducible 2	fimZ	2755149.0	2755396.0	2755270.0	38	12.19	0.088727	smpB,ssrA	genic
1787	fimZ inducible 1,fimZ inducible 2	fimZ	2219784.0	2219980.0	2219883.0	39	11.97	0.061381	bglX,yehW-yehX-yehY-osmF	genic
1788	fimZ inducible 1,fimZ inducible 2	fimZ	1770070.0	1770262.0	1770162.0	40	11.21	0.065137	rprA,ydiK	genic
1789	fimZ inducible 1,fimZ inducible 2	fimZ	1764606.0	1764910.0	1764714.0	41	11.11	0.086497	rydB,sufE-sufS-sufD-sufC-sufB-sufA	intergenic
1790	fimZ inducible 1,fimZ inducible 2	fimZ	1887027.0	1887235.0	1887136.0	42	11.06	0.072883	rnd,yeaX	genic
1791	fimZ inducible 1,fimZ inducible 2	fimZ	242982.0	243199.0	243091.0	43	11.05	0.072942	fadE,ivy	genic
1792	fimZ inducible 1,fimZ inducible 2	fimZ	2934616.0	2934844.0	2934733.0	44	10.47	0.081451	fucI,fucP-fucI-fucK-fucU-fucR	genic
1793	fimZ inducible 1,fimZ inducible 2	fimZ	3647770.0	3648014.0	3647894.0	45	10.36	0.078341	dinQ,gor	intergenic
1794	fimZ inducible 1,fimZ inducible 2	fimZ	1347027.0	1347228.0	1347122.0	46	9.9	0.062262	gmr,rnb	genic
1795	fimZ inducible 1,fimZ inducible 2	fimZ	3700518.0	3700710.0	3700621.0	47	9.5	0.063846	dppF-dppD-dppC-dppB-dppA,yhjV	genic
1796	fimZ inducible 1,fimZ inducible 2	fimZ	3590943.0	3591172.0	3591051.0	48	9.29	0.060325	ugpQ,ugpQ-ugpC-ugpE-ugpA-ugpB	genic
1797	fimZ inducible 1,fimZ inducible 2	fimZ	1149634.0	1149796.0	1149712.0	49	8.57	0.043716	fabD-fabG-acpP	genic
1798	fimZ inducible 1,fimZ inducible 2	fimZ	3855647.0	3855872.0	3855730.0	50	7.37	0.040373	yidF,yidF-yidG-yidH	genic
1799	fucR inducible 1,fucR inducible 2	fucR	2933795.0	2934246.0	2933935.0	1	26.29	1.0	fucO-fucA,fucP-fucI-fucK-fucU-fucR	intergenic
1800	gadW native 1,gadW native 2,gadW inducible 1	gadW	3657512.0	3658056.0	3657792.0	1	261.88	1.0	gadE-gadF,hdeD	intergenic
1801	gadW native 1,gadW native 2,gadW inducible 1	gadW	3653661.0	3654147.0	3653873.0	2	111.14	1.0	insH-11,slp-dctR	intergenic
1802	gadW native 1,gadW native 2,gadW inducible 1	gadW	3664595.0	3665106.0	3664861.0	3	103.56	0.809116	gadW,gadY	intergenic
1803	gadW native 1,gadW native 2,gadW inducible 1	gadW	511304.0	511781.0	511524.0	4	74.12	1.0	copA,glsA-ybaT	intergenic
1804	gadW native 1,gadW native 2,gadW inducible 1	gadW	4112635.0	4112952.0	4112798.0	5	15.46	0.269505	yiiR,yiiS-uspD	intergenic
1805	gadW native 1,gadW inducible 1	gadW	17888.0	18149.0	18016.0	6	10.5	0.193428	nhaA-nhaR,nhaR	genic
1806	gadW inducible 1	gadW	1572208.0	1572416.0	1572287.0	7	5.12	0.094367	gadC-gadB,pqqL	intergenic
1807	gadX inducible 1,gadX inducible 2	gadX	1292293.0	1293353.0	1293083.0	1	59.16	1.0	hns,tdk	intergenic
1808	gadX inducible 1,gadX inducible 2	gadX	4126986.0	4127456.0	4127249.0	2	47.99	1.0	rpmE,yiiX	intergenic
1809	gadX inducible 1,gadX inducible 2	gadX	2561848.0	2562409.0	2562198.0	3	46.48	0.968657	yffO-yffP,yffQ-yffR	genic
1810	gadX inducible 1,gadX inducible 2	gadX	319140.0	319587.0	319366.0	4	41.2	0.858523	rclC-rclB,rclC-rclB-rclA	genic
1811	gadX inducible 1,gadX inducible 2	gadX	1551900.0	1552556.0	1552212.0	5	37.43	0.780104	fdnG-fdnH-fdnI,yddM	intergenic
1812	gadX inducible 1,gadX inducible 2	gadX	4079072.0	4079455.0	4079243.0	6	36.49	0.76053	dtd-yiiD,yiiE	intergenic
1813	gadX inducible 1,gadX inducible 2	gadX	1621299.0	1621748.0	1621490.0	7	33.26	0.693013	ydeE,yneM	genic
1814	gadX inducible 1,gadX inducible 2	gadX	1870924.0	1871525.0	1871179.0	8	30.61	0.637884	yeaI,yeaJ	genic
1815	gadX inducible 1,gadX inducible 2	gadX	3673888.0	3674533.0	3674145.0	9	29.5	0.614718	yhjD,yhjE	genic
1816	gadX inducible 1,gadX inducible 2	gadX	3167839.0	3168294.0	3168002.0	10	28.26	0.588826	ygiS,ygiT	genic
1817	gadX inducible 1,gadX inducible 2	gadX	3804612.0	3805124.0	3804940.0	11	27.48	0.572721	waaU-waaZ-waaY-waaR-waaO-waaB-waaS-waaP-waaG-waaQ,waaZ-waaY	genic
1818	gadX inducible 1,gadX inducible 2	gadX	294980.0	295469.0	295305.0	12	26.62	0.554757	yagN,ykgV	genic
1819	gadX inducible 1,gadX inducible 2	gadX	2990347.0	2990748.0	2990559.0	13	24.71	0.51499	ygeF,yqeK	intergenic
1820	gadX inducible 1,gadX inducible 2	gadX	2343768.0	2344276.0	2343950.0	14	24.56	0.511893	ubiG,yfaL	genic
1821	gadX inducible 1,gadX inducible 2	gadX	3242989.0	3243319.0	3243155.0	15	23.46	0.48885	ygjV,ygjV-uxaA-uxaC	genic
1822	gadX inducible 1,gadX inducible 2	gadX	3664561.0	3665115.0	3664835.0	16	22.15	0.433474	gadW,gadY	intergenic
1823	gadX inducible 1,gadX inducible 2	gadX	3086367.0	3086749.0	3086499.0	17	21.14	0.357393	metK,speB-speA-yqgB	genic
1824	gadX inducible 1,gadX inducible 2	gadX	3876884.0	3877190.0	3877047.0	18	20.95	0.436571	yidA,yidB	intergenic
1825	gadX inducible 1,gadX inducible 2	gadX	3799643.0	3800172.0	3799960.0	19	19.8	0.412537	waaU-waaZ,yibY	genic
1826	gadX inducible 1,gadX inducible 2	gadX	4542392.0	4542889.0	4542555.0	20	19.0	0.395937	fimA-fimI-fimC-fimD-fimF-fimG-fimH,fimE	genic
1827	gadX inducible 1,gadX inducible 2	gadX	1298471.0	1298891.0	1298741.0	21	18.73	0.390362	insH21,oppA5p	genic
1828	gadX inducible 1,gadX inducible 2	gadX	511376.0	511742.0	511525.0	22	18.72	0.316431	copA,glsA-ybaT	intergenic
1829	gadX inducible 1,gadX inducible 2	gadX	3653693.0	3654058.0	3653861.0	23	18.49	0.385406	insH-11,slp-dctR	intergenic
1830	gadX inducible 1,gadX inducible 2	gadX	3377305.0	3377913.0	3377559.0	24	18.48	0.385159	rpsI3p,sspB-sspA	intergenic
1831	gadX inducible 1,gadX inducible 2	gadX	3730774.0	3731756.0	3731145.0	25	18.39	0.3833	xylB-xylA,xylF-xylG-xylH-xylR	intergenic
1832	gadX inducible 1,gadX inducible 2	gadX	1623813.0	1624252.0	1624078.0	26	18.24	0.380079	dgcZ,ydeI	intergenic
1833	gadX inducible 1,gadX inducible 2	gadX	1571872.0	1572508.0	1572281.0	27	17.97	0.303792	gadC-gadB,pqqL	intergenic
1834	gadX inducible 1,gadX inducible 2	gadX	4370743.0	4371097.0	4370927.0	28	17.7	0.368806	groL	genic
1835	gadX inducible 1,gadX inducible 2	gadX	4248052.0	4248369.0	4248218.0	29	17.54	0.365461	malK-lamB-malM,yjbI	genic
1836	gadX inducible 1,gadX inducible 2	gadX	1778749.0	1779225.0	1778913.0	30	17.26	0.359638	ydiF-ydiO,ydiP	genic
1837	gadX inducible 1,gadX inducible 2	gadX	2992789.0	2993433.0	2993031.0	31	17.23	0.359019	ygeH,ygeI	genic
1838	gadX inducible 1,gadX inducible 2	gadX	1434719.0	1435206.0	1434854.0	32	17.09	0.356169	ttcC,ynaM	intergenic
1839	gadX inducible 1,gadX inducible 2	gadX	4250314.0	4250773.0	4250515.0	33	16.87	0.351586	malK-lamB-malM,yjbI	intergenic
1840	gadX inducible 1,gadX inducible 2	gadX	3867152.0	3867701.0	3867560.0	34	16.61	0.346135	yidQ	intergenic
1841	gadX inducible 1,gadX inducible 2	gadX	3736782.0	3737517.0	3737170.0	35	16.57	0.345391	bax,xylR	genic
1842	gadX inducible 1,gadX inducible 2	gadX	2500422.0	2500707.0	2500558.0	36	16.32	0.340064	fryA-ypdE-ypdF-fryC-fryB,ypdB-ypdC	genic
1843	gadX inducible 1,gadX inducible 2	gadX	1581205.0	1581586.0	1581401.0	37	15.64	0.325942	ydeM,ydeN	genic
1844	gadX inducible 1,gadX inducible 2	gadX	4233073.0	4233440.0	4233228.0	38	15.58	0.324703	yjbD,yjbD-lysC	genic
1845	gadX inducible 1,gadX inducible 2	gadX	1655049.0	1655845.0	1655249.0	39	15.5	0.311447	rspB-rspA,ynfA	intergenic
1846	gadX inducible 1,gadX inducible 2	gadX	850127.0	850474.0	850271.0	40	15.06	0.313801	ompX	intergenic
1847	gadX inducible 1,gadX inducible 2	gadX	3020124.0	3020375.0	3020248.0	41	15.05	0.313677	ssnA,ygfM-xdhD	genic
1848	gadX inducible 1,gadX inducible 2	gadX	2288025.0	2288305.0	2288183.0	42	14.91	0.252018	insH-8,proL	genic
1849	gadX inducible 1,gadX inducible 2	gadX	3177726.0	3178191.0	3177915.0	43	14.45	0.301165	parE-yqiA-cpdA-yqiB-nudF,tolC	genic
1850	gadX inducible 1,gadX inducible 2	gadX	4340977.0	4341486.0	4341134.0	44	13.95	0.290758	adiA,melR	genic
1851	gadX inducible 1,gadX inducible 2	gadX	3838470.0	3838931.0	3838635.0	45	13.89	0.289395	yicL,yicU	genic
1852	gadX inducible 1,gadX inducible 2	gadX	4325325.0	4325758.0	4325624.0	46	13.56	0.282582	phnP-phnO-phnN-phnM-phnL-phnK-phnJ-phnI-phnH-phnG-phnF-phnD-phnC-phnE,yjdN	genic
1853	gadX inducible 1,gadX inducible 2	gadX	3409883.0	3410398.0	3410025.0	47	13.53	0.281962	dusB-fis,yhdT-panF-prmA	intergenic
1854	gadX inducible 1,gadX inducible 2	gadX	3834576.0	3834847.0	3834727.0	48	13.48	0.280847	selC,yicH	genic
1855	gadX inducible 1,gadX inducible 2	gadX	4155866.0	4156153.0	4155993.0	49	13.19	0.274901	argE,argH	genic
1856	gadX inducible 1,gadX inducible 2	gadX	3725873.0	3726235.0	3726090.0	50	13.1	0.272919	wecH,yiaA	genic
1857	gadX inducible 1,gadX inducible 2	gadX	3070448.0	3070870.0	3070585.0	51	13.03	0.269946	fbaA-pgk,mscS	genic
1858	gadX inducible 1,gadX inducible 2	gadX	1588216.0	1588603.0	1588469.0	52	13.01	0.271184	ydeQ,ydeR-ydeS-ydeT	genic
1859	gadX inducible 1,gadX inducible 2	gadX	4008459.0	4008714.0	4008595.0	53	12.99	0.270689	rhtB,rhtC	genic
1860	gadX inducible 1,gadX inducible 2	gadX	3771667.0	3771907.0	3771796.0	54	12.95	0.269946	mtlA,yibH-yibI	intergenic
1861	gadX inducible 1,gadX inducible 2	gadX	2753818.0	2754119.0	2753968.0	55	12.61	0.26276	bamE,ratB	intergenic
